Name,Slug,Category,Reference to taxonomy,Definition,Evidence / Research,Source,Confidence,Potential value,Value type,Operational/ROI impact,Good example,Bad example,Enterprise insurance application,OGI user considerations,Potential metrics/signals,Checklist prompt,Number
Visibility of system status,visibility-of-system-status,Usability heuristics,Usability heuristics,"Visibility of system status is an experience quality consideration within usability heuristics that affects how users understand, navigate or complete work.","Core usability heuristics reduce confusion, error and user effort.",Nielsen Norman Group,High,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies visibility of system status deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores visibility of system status, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate visibility of system status without unnecessary confusion, friction or risk?",1
Match with real-world language,match-with-real-world-language,Usability heuristics,Usability heuristics,"Match with real-world language is an experience quality consideration within usability heuristics that affects how users understand, navigate or complete work.","Core usability heuristics reduce confusion, error and user effort.",Nielsen Norman Group,High,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies match with real-world language deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores match with real-world language, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate match with real-world language without unnecessary confusion, friction or risk?",2
Recognition rather than recall,recognition-rather-than-recall,Usability heuristics,Usability heuristics,"Recognition rather than recall is an experience quality consideration within usability heuristics that affects how users understand, navigate or complete work.","Core usability heuristics reduce confusion, error and user effort.",Nielsen Norman Group,High,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies recognition rather than recall deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores recognition rather than recall, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate recognition rather than recall without unnecessary confusion, friction or risk?",3
User control and freedom,user-control-and-freedom,Usability heuristics,Usability heuristics,"User control and freedom is an experience quality consideration within usability heuristics that affects how users understand, navigate or complete work.","Core usability heuristics reduce confusion, error and user effort.",Nielsen Norman Group,High,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies user control and freedom deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores user control and freedom, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate user control and freedom without unnecessary confusion, friction or risk?",4
Consistency and standards,consistency-and-standards,Usability heuristics,Usability heuristics,"Consistency and standards is an experience quality consideration within usability heuristics that affects how users understand, navigate or complete work.","Core usability heuristics reduce confusion, error and user effort.",Nielsen Norman Group,High,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies consistency and standards deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores consistency and standards, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate consistency and standards without unnecessary confusion, friction or risk?",5
Error prevention,error-prevention,Usability heuristics,Usability heuristics,"Error prevention is an experience quality consideration within usability heuristics that affects how users understand, navigate or complete work.","Core usability heuristics reduce confusion, error and user effort.",Nielsen Norman Group,High,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.",The system prevents invalid dates and explains field errors clearly at the point of entry.,Users complete a long form then receive a generic error message with no clear location or recovery guidance.,"Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate error prevention without unnecessary confusion, friction or risk?",6
Flexibility and efficiency of use,flexibility-and-efficiency-of-use,Usability heuristics,Usability heuristics,"Flexibility and efficiency of use is an experience quality consideration within usability heuristics that affects how users understand, navigate or complete work.","Core usability heuristics reduce confusion, error and user effort.",Nielsen Norman Group,High,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies flexibility and efficiency of use deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores flexibility and efficiency of use, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate flexibility and efficiency of use without unnecessary confusion, friction or risk?",7
Aesthetic and minimalist design,aesthetic-and-minimalist-design,Usability heuristics,Usability heuristics,"Aesthetic and minimalist design is an experience quality consideration within usability heuristics that affects how users understand, navigate or complete work.","Core usability heuristics reduce confusion, error and user effort.",Nielsen Norman Group,High,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies aesthetic and minimalist design deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores aesthetic and minimalist design, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate aesthetic and minimalist design without unnecessary confusion, friction or risk?",8
Help users recover from errors,help-users-recover-from-errors,Usability heuristics,Usability heuristics,"Help users recover from errors is an experience quality consideration within usability heuristics that affects how users understand, navigate or complete work.","Core usability heuristics reduce confusion, error and user effort.",Nielsen Norman Group,High,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies help users recover from errors deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores help users recover from errors, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate help users recover from errors without unnecessary confusion, friction or risk?",9
Help and documentation,help-and-documentation,Usability heuristics,Usability heuristics,"Help and documentation is an experience quality consideration within usability heuristics that affects how users understand, navigate or complete work.","Core usability heuristics reduce confusion, error and user effort.",Nielsen Norman Group,High,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies help and documentation deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores help and documentation, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate help and documentation without unnecessary confusion, friction or risk?",10
Feedback loops,feedback-loops,Usability heuristics,Usability heuristics,"Feedback loops is an experience quality consideration within usability heuristics that affects how users understand, navigate or complete work.","Core usability heuristics reduce confusion, error and user effort.",Nielsen Norman Group,High,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies feedback loops deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores feedback loops, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate feedback loops without unnecessary confusion, friction or risk?",11
Affordances,affordances,Usability heuristics,Usability heuristics,"Affordances is an experience quality consideration within usability heuristics that affects how users understand, navigate or complete work.","Core usability heuristics reduce confusion, error and user effort.",Nielsen Norman Group,High,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies affordances deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores affordances, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate affordances without unnecessary confusion, friction or risk?",12
Cognitive load,cognitive-load,Cognitive psychology,Cognitive psychology,"Cognitive load is an experience quality consideration within cognitive psychology that affects how users understand, navigate or complete work.","Human memory, attention and decision-making limits affect speed, accuracy and confidence.",Cognitive psychology and interaction design research,High,"Reduced mental effort, faster decisions and fewer errors.",Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies cognitive load deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores cognitive load, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate cognitive load without unnecessary confusion, friction or risk?",13
